instance,status,objective,time,problem
239.txt,Feasible,2056.0,900.252,FJSP
24.txt,Optimal,1123.0,0.635,FJSP
240.txt,Feasible,2253.0,900.581,FJSP
241.txt,Feasible,3039.0,900.544,FJSP
242.txt,Feasible,2687.0,900.175,FJSP
243.txt,Feasible,2721.0,900.06,FJSP
244.txt,Feasible,2478.0,900.125,FJSP
245.txt,Feasible,2719.0,900.135,FJSP
246.txt,Feasible,5773.0,900.361,FJSP
247.txt,Feasible,5559.0,900.227,FJSP
248.txt,Feasible,6051.0,900.149,FJSP
249.txt,Feasible,6372.0,900.227,FJSP
25.txt,Optimal,1111.0,2.336,FJSP
250.txt,Feasible,1724.0,900.108,FJSP
251.txt,Feasible,1754.0,900.149,FJSP
252.txt,Feasible,1818.0,900.18,FJSP
253.txt,Feasible,2000.0,900.504,FJSP
254.txt,Feasible,4145.0,900.332,FJSP
255.txt,Feasible,4433.0,900.437,FJSP
256.txt,Feasible,4120.0,900.709,FJSP
257.txt,Feasible,9467.0,900.53,FJSP
258.txt,Feasible,1257.0,900.118,FJSP
259.txt,Feasible,1358.0,900.141,FJSP
26.txt,Optimal,892.0,0.29,FJSP
260.txt,Feasible,1352.0,900.287,FJSP
261.txt,Feasible,1394.0,900.303,FJSP
262.txt,Feasible,3442.0,900.748,FJSP
263.txt,Feasible,3021.0,900.351,FJSP
264.txt,Feasible,3025.0,901.018,FJSP
265.txt,Feasible,8734.0,900.707,FJSP
266.txt,Feasible,3935.0,900.123,FJSP
267.txt,Feasible,3707.0,900.124,FJSP
268.txt,Feasible,3867.0,900.262,FJSP
269.txt,Feasible,3795.0,900.283,FJSP
27.txt,Optimal,707.0,0.288,FJSP
270.txt,Feasible,8084.0,900.952,FJSP
271.txt,Feasible,8351.0,900.485,FJSP
272.txt,Feasible,8866.0,900.168,FJSP
273.txt,Feasible,14902.0,900.21,FJSP
274.txt,Feasible,2399.0,900.294,FJSP
275.txt,Feasible,2525.0,900.174,FJSP
276.txt,Feasible,2791.0,900.799,FJSP
277.txt,Feasible,3932.0,900.728,FJSP
278.txt,Feasible,5434.0,900.594,FJSP
279.txt,Feasible,5190.0,900.625,FJSP
28.txt,Optimal,842.0,0.442,FJSP
280.txt,Feasible,6570.0,900.183,FJSP
281.txt,Feasible,7824.0,900.528,FJSP
282.txt,Feasible,1967.0,900.226,FJSP
283.txt,Feasible,1790.0,900.216,FJSP
284.txt,Feasible,2105.0,900.544,FJSP
285.txt,Feasible,2845.0,900.537,FJSP
286.txt,Feasible,4407.0,900.685,FJSP
287.txt,Feasible,4060.0,900.832,FJSP
288.txt,Feasible,4918.0,900.347,FJSP
289.txt,Feasible,18226.0,900.329,FJSP
29.txt,Optimal,796.0,0.582,FJSP
3.txt,Optimal,204.0,132.875,FJSP
30.txt,Optimal,857.0,0.26,FJSP
31.txt,Optimal,1009.0,351.753,FJSP
32.txt,Optimal,880.0,18.533,FJSP
33.txt,Optimal,950.0,20.838,FJSP
34.txt,Optimal,908.0,149.049,FJSP
35.txt,Optimal,936.0,22.333,FJSP
36.txt,Feasible,1111.0,900.249,FJSP
37.txt,Optimal,1181.0,44.23,FJSP
38.txt,Feasible,1146.0,900.162,FJSP
39.txt,Feasible,1113.0,900.169,FJSP
4.txt,Optimal,60.0,2.096,FJSP
40.txt,Feasible,1204.0,900.327,FJSP
41.txt,Optimal,1532.0,217.7,FJSP
42.txt,Optimal,1698.0,27.621,FJSP
43.txt,Optimal,1547.0,30.885,FJSP
44.txt,Optimal,1599.0,82.52,FJSP
45.txt,Optimal,1736.0,7.836,FJSP
46.txt,Optimal,1160.0,56.986,FJSP
47.txt,Optimal,1397.0,1.485,FJSP
48.txt,Optimal,1141.0,161.238,FJSP
49.txt,Optimal,1184.0,29.932,FJSP
5.txt,Optimal,172.0,188.911,FJSP
50.txt,Optimal,1144.0,231.879,FJSP
51.txt,Optimal,55.0,0.052,FJSP
52.txt,Optimal,871.0,11.773,FJSP
53.txt,Optimal,1088.0,4.704,FJSP
54.txt,Feasible,570.0,900.052,FJSP
55.txt,Optimal,529.0,85.513,FJSP
56.txt,Optimal,477.0,311.804,FJSP
57.txt,Optimal,502.0,775.885,FJSP
58.txt,Feasible,457.0,900.057,FJSP
59.txt,Feasible,799.0,900.059,FJSP
6.txt,Feasible,60.0,900.089,FJSP
60.txt,Feasible,749.0,900.094,FJSP
61.txt,Feasible,765.0,900.116,FJSP
62.txt,Feasible,853.0,900.062,FJSP
63.txt,Feasible,804.0,900.088,FJSP
64.txt,Feasible,1071.0,900.087,FJSP
65.txt,Feasible,936.0,900.081,FJSP
66.txt,Feasible,1038.0,900.08,FJSP
67.txt,Feasible,1070.0,900.077,FJSP
68.txt,Feasible,1089.0,900.116,FJSP
69.txt,Optimal,717.0,1.628,FJSP
7.txt,Feasible,140.0,900.057,FJSP
70.txt,Optimal,646.0,1.531,FJSP
71.txt,Optimal,666.0,2.786,FJSP
72.txt,Optimal,700.0,12.383,FJSP
73.txt,Optimal,756.0,1.988,FJSP
74.txt,Feasible,847.0,900.193,FJSP
75.txt,Feasible,768.0,900.077,FJSP
76.txt,Feasible,851.0,900.093,FJSP
77.txt,Feasible,812.0,900.07,FJSP
78.txt,Feasible,802.0,900.112,FJSP
79.txt,Feasible,1072.0,900.108,FJSP
8.txt,Optimal,523.0,447.157,FJSP
80.txt,Feasible,1095.0,900.086,FJSP
81.txt,Feasible,1084.0,900.114,FJSP
82.txt,Feasible,1004.0,900.108,FJSP
83.txt,Feasible,1093.0,900.083,FJSP
84.txt,Feasible,1521.0,900.054,FJSP
85.txt,Feasible,1662.0,900.093,FJSP
86.txt,Feasible,1504.0,900.071,FJSP
87.txt,Feasible,1539.0,900.064,FJSP
88.txt,Feasible,1554.0,900.09,FJSP
89.txt,Optimal,1023.0,485.101,FJSP
9.txt,Optimal,307.0,157.538,FJSP
90.txt,Feasible,1093.0,900.087,FJSP
91.txt,Optimal,954.0,448.983,FJSP
92.txt,Feasible,1038.0,900.096,FJSP
93.txt,Feasible,963.0,900.506,FJSP
94.txt,Optimal,47.0,0.08,FJSP
95.txt,Optimal,686.0,5.721,FJSP
96.txt,Feasible,1022.0,900.153,FJSP
97.txt,Feasible,570.0,900.076,FJSP
98.txt,Feasible,529.0,900.087,FJSP
99.txt,Feasible,477.0,900.118,FJSP
